root,root_base,canonical_root,is_homonym,variant_no,examples
грамот,грамот,грамот,0,,грамота; грамотный; грамотность; безграмотный; безграмотность; грамотей; грамотка
гран,гран,гран,0,,граница; ограничение; грань; ограничить; ограниченный; пограничный; ограничиваться; ограничивать; ограничиться; заграничный
графин,графин,графин,0,,графин; графинчик
гре,гре,гре,0,,греть; нагреть; греться; разогреть; нагрев; согревать; подогреть; подогревать; погреться; подогрев
греб,греб,граб-1,0,,гребень; погреб; погребение; гребешок; погребальный; разгребать; выгребать; загребать; сгребать; гребец
грёб,грёб,граб-1,0,,загрёбистый; огрёбка; огрёбок; огрёбщик; отгрёбка; отгрёбщик; подгрёб; полгрёбка
грез,грез,грез,0,,грезить; грезиться; пригрезиться; погрезить; погрезиться
грёз,грёз,грез,0,,грёза
грек,грек,грек,0,,грек
грем,грем,грем,0,,греметь; загреметь; прогреметь; гремучий; погремушка; отгреметь; взгреметь; возгреметь; гремушка; нагреметь
грес,грес,граб-1,0,,грести; погрести; сгрести; выгрести; загрести; разгрести; подгрести; огрести; нагрести; выгрестись
грех,грех,грех,0,,грех; греховный; огрех; безгреховный
грец,грец,грек,0,,грецкий; грецизм
греч,греч,грек,0,,греческий; гречневый; гречка; гречанка; гречиха; греча; гречишный; гречишник; гречневик
греш,греш,грех,0,,грешный; грешник; грешить; погрешность; согрешить; безгрешный; прегрешение; грешница; грешок; непогрешимость
гриб,гриб,гриб,0,,гриб; грибной; грибок; грибник; грибковый; грибница
грив,грив,грив,0,,грива; загривок; гривна; гривенник; гривастый; гривенка; гривенничек; гривистый
гримас,гримас,гримас,0,,гримаса; гримасничать; гримасник; гримасница; гримасничанье
